,count,lat,lon
0,47992,32.9860962,-97.241621
1,34916,34.0794058,-117.2178969
2,26025,33.611883,-84.5342134
3,25891,29.5731997,-95.2837694
4,22202,38.7920792,-94.9436011
5,18983,42.0684906,-80.1962374
6,15494,33.6230028,-112.3924863
7,14412,39.8868877,-82.954347
8,13886,29.4005078,-98.3855578
9,13862,36.2959638,-94.1858724
10,12485,30.3180613,-81.4504696
11,12277,42.9886274,-74.3916635
12,12218,40.7337632,-76.3187282
13,12211,41.7203343,-88.3733261
14,12145,35.0942928,-80.947842
15,11098,41.7724121,-89.7243
16,10768,35.0543758,-106.7392463
17,10744,38.0977321,-78.4678745
18,10690,44.0112305,-90.4494631
19,9900,38.708462,-88.1224187
20,9524,39.5230687,-83.4566224
21,9460,40.4360497,-104.9695
22,9112,35.0905359,-79.3694723
23,9068,32.5710404,-85.4972577
24,8988,37.1131623,-84.0907163
25,8440,35.9528553,-78.5336423
26,8282,39.7448254,-86.3492449
27,8222,34.7366042,-97.247714
28,8140,38.9544048,-85.8440025
29,8018,34.2120051,-101.7298472
30,7594,41.1629069,-104.7948074
31,7562,35.2470589,-91.6857576
32,7461,36.2010133,-115.1909423
33,7336,35.9391332,-86.8199193
34,7246,36.5827038,-87.3352456
35,6936,34.4446577,-81.9010965
36,6913,33.0327613,-84.9538952
37,6892,36.0829103,-119.0453196
38,6750,41.9351256,-84.9670064
39,6676,31.0889732,-97.7296091
40,6636,40.1086847,-122.1894185
41,6516,41.0937703,-100.7288253
42,6492,34.1396867,-86.8471285
43,6483,30.3055026,-89.8258026
44,6433,35.4282982,-93.5294758
45,6410,34.4938752,-89.0334943
46,6391,41.3615727,-85.0803244
47,6056,29.7335851,-96.1806464
48,5996,44.901035,-91.8598869
49,5620,27.9251647,-82.2703779
50,5486,45.8129454,-119.2543602
51,5454,31.4843273,-82.846849
52,5410,35.6401358,-97.4285235
53,5326,31.6110885,-90.4214071
54,5204,28.5049617,-81.3122606
55,5132,44.1631458,-93.9519951
56,5060,32.8832173,-111.7462
57,5030,36.8296644,-76.4174819
58,4960,39.445917,-92.4194878
59,4918,36.0859725,-80.2946716
60,4892,35.0218606,-89.8303342
61,4820,34.7963082,-80.4102231
62,4782,30.5201161,-92.0675069
63,4712,40.9789962,-91.5410901
64,4626,40.6221431,-112.5046962
65,4620,40.3071798,-76.616234
66,4614,38.594445,-89.9540055
67,4568,41.7122662,-111.836797
68,4491,40.523082,-111.926018
69,4484,39.7004592,-104.8262751
70,4472,43.4890838,-88.8136185
71,4462,30.3068483,-89.3847656
72,4383,39.4803972,-119.7934823
73,4215,39.0694,-118.7139
74,4215,37.9179,-117.7728
75,4215,36.8283,-116.5869
76,4184,31.8691961,-106.4327535
77,3706,46.2804115,-119.9206853
78,3608,31.4919662,-97.1642554
79,3562,27.0251763,-82.1240365
80,3473,30.4311633,-91.077615
81,3314,26.6941976,-80.1086775
82,3156,39.4954205,-76.1769354
83,3133,34.6832907,-92.3097467
84,3052,28.3954847,-80.7538033
85,3050,38.7875533,-121.2904572
86,2986,32.7973035,-116.9369654
87,2854,37.2361744,-93.2197343
88,2714,38.9496446,-104.8004079
89,2712,36.2958241,-95.8379
90,2569,33.7033188,-78.911705
91,2402,41.1559393,-95.9385367
92,2341,30.4392958,-87.2780299
